File ID,Value,edinet code
TSE:1514,住石ホールディングス株式会社,E21342
TSE:3697,株式会社SHIFT,E30969
TSE:6707,サンケン電気株式会社,E01790
TSE:9552,株式会社Ｍ＆Ａ総研ホールディングス,E37733
TSE:2413,エムスリー株式会社,E05425
TSE:7388,株式会社ＦＰパートナー,E37913
TSE:3778,さくらインターネット株式会社,E05518
TSE:4516,日本新薬株式会社,E00931
TSE:5595,株式会社QPS研究所,E39137
TSE:7003,株式会社三井Ｅ＆Ｓ,E02123
TSE:6532,株式会社ベイカレント・コンサルティング,E32549
TSE:4483,株式会社日本医療データセンター,E35308
TSE:2767,円谷フィールズホールディングス株式会社,E03407
TSE:2760,東京エレクトロン　デバイス株式会社,E02955
TSE:3635,株式会社コーエーテクモホールディングス,E22460
TSE:1963,日揮ホールディングス株式会社,E01575
TSE:6961,株式会社エンプラス,E02390
TSE:6645,オムロン株式会社,E01755
TSE:9519,株式会社レノバ,E32967
TSE:4385,株式会社メルカリ,E34064
TSE:4478,freee 株式会社,E35325
TSE:7342,ウェルスナビ株式会社,E36141
TSE:2267,株式会社ヤクルト本社,E00406
TSE:2160,株式会社ジーエヌアイグループ,E05712
TSE:9064,ヤマトホールディングス株式会社,E04187
TSE:6963,ローム株式会社,E01953
TSE:4480,株式会社メドレー,E33586
TSE:9684,株式会社スクウェア・エニックス・ホールディングス,E04859
TSE:3097,株式会社物語コーポレーション,E03528
TSE:4927,株式会社ポーラ・オルビスホールディングス,E24951
TSE:2175,株式会社エス・エム・エス,E05697
TSE:4384,ラクスル株式会社,E33966
TSE:7211,三菱自動車工業株式会社,E02213
TSE:4523,エーザイ株式会社,E00939
TSE:6965,浜松ホトニクス株式会社,E01955
TSE:8111,株式会社ゴールドウイン,E00603
TSE:5032,ANYCOLOR株式会社,E37573
TSE:7951,ヤマハ株式会社,E02362
TSE:9001,東武鉄道株式会社,E04094
TSE:4180,Appier Group株式会社,E36372
TSE:3141,ウエルシアホールディングス株式会社,E21035
TSE:7550,株式会社ゼンショーホールディングス,E03291
TSE:9007,小田急電鉄株式会社,E04088
TSE:4503,アステラス製薬株式会社,E00920
TSE:9041,近鉄グループホールディングス株式会社,E04102
TSE:3769,ＧＭＯペイメントゲートウェイ株式会社,E05476
TSE:4021,日産化学株式会社,E00759
TSE:3088,株式会社マツキヨココカラ＆カンパニー,E03519
TSE:9143,ＳＧホールディングス株式会社,E32292
TSE:3391,株式会社ツルハホールディングス,E03464
TSE:6966,株式会社三井ハイテック,E02293
TSE:7205,日野自動車株式会社,E02146
TSE:1893,五洋建設株式会社,E00086
TSE:2127,株式会社日本Ｍ＆Ａセンターホールディングス,E05629
TSE:6871,株式会社日本マイクロニクス,E02030
TSE:6028,テクノプロ・ホールディングス株式会社,E31030
TSE:9008,京王電鉄株式会社,E04092
TSE:5301,東海カーボン株式会社,E01162
TSE:4967,小林製薬株式会社,E01047
TSE:2433,株式会社博報堂ＤＹホールディングス,E05410
TSE:3923,株式会社ラクス,E31878
TSE:4194,ビジョナル株式会社,E36484
TSE:9843,株式会社ニトリホールディングス,E03144
TSE:2593,株式会社伊藤園,E00414
TSE:7747,朝日インテック株式会社,E02349
TSE:6254,野村マイクロ・サイエンス株式会社,E01735
TSE:4062,イビデン株式会社,E00775
TSE:2379,ディップ株式会社,E05368
TSE:9009,京成電鉄株式会社,E04091
TSE:9048,名古屋鉄道株式会社,E04101
TSE:4911,株式会社資生堂,E00990
TSE:3774,株式会社インターネットイニシアティブ,E05480
TSE:6473,株式会社ジェイテクト,E01602
TSE:7956,ピジョン株式会社,E02404
TSE:3349,株式会社コスモス薬品,E03446
TSE:4005,住友化学株式会社,E00752
TSE:6890,株式会社フェローテックホールディングス,E02024
TSE:6869,シスメックス株式会社,E02015
TSE:9042,阪急阪神ホールディングス株式会社,E04103
TSE:3116,トヨタ紡織株式会社,E00540
TSE:6752,パナソニック　ホールディングス株式会社,E01772
TSE:4528,小野薬品工業株式会社,E00945
TSE:3498,霞ヶ関キャピタル株式会社,E34289
TSE:4689,ＬＩＮＥヤフー株式会社,E05000
