"TSE number","names"
"13760","カネコ種苗 | KANEKO SEEDS | カネコシュビョウ"
"13770","サカタのタネ | SAKATA SEED | サカタノタネ"
"13750","雪国まいたけ | YUKIGUNI MAITAKE | カブシキカイシャユキグニマイタケ"
"13790","ホクト | HOKUTO | ホクト"
"13810","アクシーズ | AXYZ Co., Ltd | アクシーズ"
"13820","ホーブ | HOB | ホーブ"
"19110","住友林業 | Sumitomo Forestry | スミトモリンギョウ"
"13010","極洋 | KYOKUYO | キョクヨウ"
"13320","ニッスイ | Nissui | ニッスイ"
"13330","マルハニチロ | マルハニチロ"
"57110","三菱マテリアル | MITSUBISHI MATERIALS | ミツビシマテリアル"
"57130","住友金属鉱山 | Sumitomo Metal Mining | スミトモキンゾクコウザンカブシキカイシャ"
"57060","三井金属鉱業 | Mitsui Mining and Smelting Company, Limited | ミツイキンゾクコウギョウ"
"57290","日本精鉱 | NIHON SEIKO | ニホンセイコウ"
"14910","中外鉱業 | Chugai Mining | チュウガイコウギョウ"
"57140","ＤＯＷＡホールディングス | DOWA HOLDINGS | ドウワホールディングス"
"33150","日本コークス工業 | NIPPON COKE & ENGINEERING | ニホンコークスコウギョウ"
"57150","古河機械金属 | FURUKAWA | フルカワキカイキンゾク"
"96750","常磐興産 | Joban Kosan | ジョウバンコウサン"
"88350","太平洋興発 | TAIHEIYO KOUHATSU INCORPORATED | タイヘイヨウコウハツ"
"70210","ニッチツ | NITCHITSU | ニッチツ"
"15150","日鉄鉱業 | Nittetsu Mining CO.,Ltd. | ニッテツコウギョウ"
"15180","三井松島ホールディングス | MITSUI MATSUSHIMA HOLDINGS | ミツイマツシマホールディングス"
"16620","石油資源開発 | Japan Petroleum Exploration | セキユシゲンカイハツ"
"16050","ＩＮＰＥＸ | INPEX | インペックス"
"19250","大和ハウス工業 | DAIWA HOUSE INDUSTRY | ダイワハウスコウギョウ"
"18010","大成建設 | taisei | タイセイケンセツ"
"18030","清水建設 | SHIMIZU | シミズケンセツ"
"18020","大林組 | OBAYASHI | オオバヤシグミ"
"18610","熊谷組 | Kumagaigumi | クマガイグミ"
"18120","鹿島建設 | KAJIMA | カジマケンセツ"
"18870","日本国土開発 | JDC | ニホンコクドカイハツ"
"18200","西松建設 | Nishimatsu Construction | ニシマツケンセツ"
"18050","飛島建設 | TOBISHIMA | トビシマケンセツ"
"18100","松井建設 | MATSUI CONSTRUCTION | マツイケンセツ"
"18150","鉄建建設 | TEKKEN | テッケンケンセツ"
"18820","東亜道路工業 | TOA ROAD | トウアドウロコウギョウ"
"18840","日本道路 | THE NIPPON ROAD | ニッポンドウロ"
"18110","錢高組 | THE ZENITAKA | ゼニタカグミ"
"19410","中電工 | CHUDENKO | チュウデンコウ"
"19420","関電工 | KANDENKO | カンデンコウ"
"19440","きんでん | KINDEN | キンデン"
"19460","トーエネック | TOENEC | トーエネック"
"18920","徳倉建設 | トクラケンセツ"
"18850","東亜建設工業 | TOA | トウアケンセツコウギョウ"
"18880","若築建設 | WAKACHIKU CONSTRUCTION | ワカチクケンセツ"
"18900","東洋建設 | TOYO CONSTRUCTION | トウヨウケンセツ"
"18330","奥村組 | OKUMURA | オクムラグミ"
"18210","三井住友建設 | Sumitomo Mitsui Construction | ミツイスミトモケンセツ"
"18930","五洋建設 | PENTA-OCEAN CONSTRUCTION | ゴヨウケンセツ"
"18080","長谷工 | HASEKO | ハセコウ"
"19450","東京エネシス | TOKYO ENERGY & SYSTEMS | トウキョウエネシス"
